"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order","slider_start"
"24392","audio//part1_pair4.wav","60","audio-slider-response","33","691549","0.0-5.0-0.28","","50"
"24611","audio//part2_pair9.wav","33","audio-slider-response","34","717567","0.0-5.0-0.29","","50"
"19131","audio//part0_pair5.wav","69","audio-slider-response","35","737853","0.0-5.0-0.30","","50"
"19629","audio//part2_pair1.wav","32","audio-slider-response","36","758272","0.0-5.0-0.31","","50"
"16139","audio//part3_pair2.wav","60","audio-slider-response","37","775831","0.0-5.0-0.32","","50"
"20920","audio//part2_pair5.wav","80","audio-slider-response","38","797635","0.0-5.0-0.33","","50"
"25952","audio//part2_pair3.wav","20","audio-slider-response","39","824749","0.0-5.0-0.34","","50"
"25000","audio//part4_pair10.wav","84","audio-slider-response","40","850756","0.0-5.0-0.35","","50"
"16869","audio//part2_pair8.wav","60","audio-slider-response","41","868619","0.0-5.0-0.36","","50"
"18040","audio//part2_pair10.wav","85","audio-slider-response","42","887905","0.0-5.0-0.37","","50"
"17411","audio//part4_pair8.wav","72","audio-slider-response","43","906457","0.0-5.0-0.38","","50"
"20611","audio//part0_pair6.wav","95","audio-slider-response","44","928842","0.0-5.0-0.39","","50"
"1149","","{""Q0"":""""}","survey-text","45","930020","0.0-6.0","",""
