"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","question_order","slider_start"
"21101","audio//part1_pair4.wav","11","audio-slider-response","10","192092","0.0-5.0-0.5","","50"
"52869","audio//part2_pair9.wav","21","audio-slider-response","11","245076","0.0-5.0-0.6","","50"
"25480","audio//part4_pair5.wav","0","audio-slider-response","12","270782","0.0-5.0-0.7","","50"
"19720","audio//part1_pair5.wav","13","audio-slider-response","13","290648","0.0-5.0-0.8","","50"
"17499","audio//part4_pair3.wav","15","audio-slider-response","14","308294","0.0-5.0-0.9","","50"
"23920","audio//part0_pair6.wav","36","audio-slider-response","15","332358","0.0-5.0-0.10","","50"
"21880","audio//part4_pair1.wav","27","audio-slider-response","16","354380","0.0-5.0-0.11","","50"
"18992","audio//part2_pair12.wav","36","audio-slider-response","17","373515","0.0-5.0-0.12","","50"
"19960","audio//part2_pair8.wav","40","audio-slider-response","18","393686","0.0-5.0-0.13","","50"
"19869","audio//part2_pair6.wav","39","audio-slider-response","19","413700","0.0-5.0-0.14","","50"
"18672","audio//part3_pair5.wav","18","audio-slider-response","20","432510","0.0-5.0-0.15","","50"
"21611","audio//part1_pair3.wav","26","audio-slider-response","21","454256","0.0-5.0-0.16","","50"
"30469","audio//part4_pair7.wav","38","audio-slider-response","22","484848","0.0-5.0-0.17","","50"
"26669","audio//part0_pair4.wav","78","audio-slider-response","23","511654","0.0-5.0-0.18","","50"
"31821","audio//part2_pair3.wav","34","audio-slider-response","24","543592","0.0-5.0-0.19","","50"
"16208","audio//part0_pair5.wav","85","audio-slider-response","25","559922","0.0-5.0-0.20","","50"
"29520","audio//part4_pair2.wav","76","audio-slider-response","26","589564","0.0-5.0-0.21","","50"
"38229","audio//part3_pair6.wav","38","audio-slider-response","27","627962","0.0-5.0-0.22","","50"
"19779","audio//part2_pair4.wav","59","audio-slider-response","28","647876","0.0-5.0-0.23","","50"
"28640","audio//part2_pair2.wav","35","audio-slider-response","29","676651","0.0-5.0-0.24","","50"
"30811","audio//part2_pair13.wav","31","audio-slider-response","30","707578","0.0-5.0-0.25","","50"
"30832","audio//part2_pair1.wav","33","audio-slider-response","31","738554","0.0-5.0-0.26","","50"
"24981","audio//part0_pair1.wav","15","audio-slider-response","32","763670","0.0-5.0-0.27","","50"
"16141","audio//part2_pair11.wav","68","audio-slider-response","33","779940","0.0-5.0-0.28","","50"
"22699","audio//part4_pair6.wav","92","audio-slider-response","34","802756","0.0-5.0-0.29","","50"
"42029","audio//part4_pair8.wav","83","audio-slider-response","35","844904","0.0-5.0-0.30","","50"
"29861","audio//part3_pair3.wav","57","audio-slider-response","36","874896","0.0-5.0-0.31","","50"
"22128","audio//part2_pair5.wav","43","audio-slider-response","37","897156","0.0-5.0-0.32","","50"
"20760","audio//part3_pair4.wav","17","audio-slider-response","38","918040","0.0-5.0-0.33","","50"
"19352","audio//part4_pair9.wav","57","audio-slider-response","39","937506","0.0-5.0-0.34","","50"
"30539","audio//part2_pair10.wav","39","audio-slider-response","40","968174","0.0-5.0-0.35","","50"
"17731","audio//part4_pair4.wav","10","audio-slider-response","41","986027","0.0-5.0-0.36","","50"
"17680","audio//part1_pair2.wav","15","audio-slider-response","42","1003856","0.0-5.0-0.37","","50"
"17011","audio//part4_pair10.wav","97","audio-slider-response","43","1020992","0.0-5.0-0.38","","50"
"16061","audio//part2_pair7.wav","76","audio-slider-response","44","1037176","0.0-5.0-0.39","","50"
"881","","{""Q0"":""""}","survey-text","45","1038106","0.0-6.0","",""
